labels,Animals,Community,Plants,totals
FALLSBURG,2,,,2
FALMOUTH,32,,1,33
FANCY FARM,8,,1,9
FARMERS,22,2,17,41
FARMINGTON,,,1,1
FAUBUSH,1,2,2,5
FELICITY,1,,,1
FENTON,24,,37,61
FISHERVILLE,6,,,6
FLAHERTY,12,,,12
FLAT GAP,10,1,11,22
FLEMINGSBURG,1,,,1
FLENER,1,,,1
FLORENCE,,,1,1
FORD,5,1,30,36
FORDSVILLE,,,1,1
FORK RIDGE,1,,2,3
FORT KNOX,6,,4,10
FOUNT,9,,,9
FOUNTAIN RUN,13,,,13
FRAKES,19,1,5,25
FRANKFORT EAST,9,,28,37
FRANKFORT WEST,5,,35,40
FRANKLIN,7,,,7
FRANKLINTON,,,2,2
FRAZER,7,1,10,18
FREDONIA,7,,,7
FRENCHBURG,32,1,6,39
FRIENDSHIP,9,,3,12
FROGUE,20,,1,21
GAMALIEL,11,,,11
GARFIELD,26,4,1,31
GARRISON,24,,11,35
GEORGETOWN,2,,,2
GLASGOW NORTH,5,,3,8
GLASGOW SOUTH,3,1,1,5
GLEN DEAN,2,,1,3
GLENCOE,11,,2,13
GLENSBORO,1,,,1
GLENVILLE,3,1,1,5
GOFORTH,8,,,8
GOLCONDA,16,2,10,28
GRACEY,4,,1,5
GRADYVILLE,6,,1,7
GRAHAM,14,1,,15
GRAHN,29,2,28,59
GRAND RIVERS,27,,3,30
GRATZ,11,,5,16
GRAVEL SWITCH,1,1,,2
GRAYSON,13,,2,15
GREENSBURG,32,,1,33
GREENUP,8,,,8
GRESHAM,41,,1,42
GROVE CENTER,10,,,10
GUAGE,8,,,8
GUSTON,7,1,,8
GUTHRIE,1,,1,2
HADDIX,8,,1,9
HADLEY,87,,2,89
HAIL,52,10,32,94
HALDEMAN,4,,1,5
HALEYS MILL,15,,,15
HALLS GAP,,1,,1
HAMLIN,22,,6,28
HAMMONVILLE,5,,5,10
HANDSHOE,6,,,6
HANSON,,,1,1
HARDIN,7,,,7
HARDINSBURG,10,,,10
HARLAN,6,4,5,15
HAROLD,4,,,4
HARRODSBURG,4,,10,14
HARTFORD,7,2,1,10
HAZARD NORTH,11,,3,14
HAZARD SOUTH,7,,,7
HAZEL GREEN,5,,,5
HEAD OF GRASSY,10,,2,12
HEATH,20,1,8,29
HEDGES,6,1,3,10
HEIDELBERG,12,3,4,19
HEIDRICK,6,,1,7
HELLIER,10,,,10
HELTON,21,3,5,29
HENDERSON,2,,,2
HERNDON,9,1,8,18
HIBERNIA,1,3,1,5
HICKMAN,23,1,6,30
HICKORY,,,7,7
HICKORY FLAT,5,,1,6
HICO,16,,9,25
HIGGINSPORT,2,,,2
HILLSBORO,10,,1,11
HIMA,10,,2,12
HINDMAN,10,,,10
HISEVILLE,2,1,,3
HODGENVILLE,10,1,,11
HOLLAND,6,,1,7
HOLLYHILL,67,1,17,85
HOMER,3,,,3
HONEY GROVE,1,,2,3
HOOVEN,2,,,2
HOPKINSVILLE,6,,1,7
HORSE CAVE,67,,8,75
HORTON,1,,,1
HOSKINSTON,9,1,3,13
HOWARDSTOWN,19,1,,20
HOWE VALLEY,19,2,7,28
HUBBARD LAKE,24,,2,26
HUBBARD SPRINGS,1,,19,20
HUDGINS,55,2,4,61
HUSTONVILLE,1,,,1
HYDEN EAST,14,,,14
HYDEN WEST,6,,2,8
INDEPENDENCE,9,,2,11
INEZ,2,,,2
IRONTON,5,,1,6
IRVINE,1,3,12,16
IRVINGTON,2,,,2
ISONVILLE,5,,1,6
IVYTON,1,,1,2
JABEZ,14,,,14
JACKSON,4,,,4
JAMBOREE,20,,,20
JAMESTOWN,26,,8,34
JEFFERSONTOWN,6,,3,9
JEFFERSONVILLE,24,,7,31
JELLICO EAST,9,,5,14
JELLICO WEST,6,1,,7
JENKINS EAST,2,,,2
JENKINS WEST,9,,1,10
JOHNETTA,59,2,4,65
JOHNSON HOLLOW,15,1,1,17
JOPPA,69,2,6,77
JUNCTION CITY,3,,1,4
KAYJAY,27,,4,31
KEENE,6,,3,9
KELAT,14,,1,15
KELLY,1,,1,2
KEOKEE,1,,5,6
KERMIT,5,,,5
KETCHEN,19,1,1,21
KINGSWOOD,3,,,3
KIRKMANSVILLE,1,,2,3
KIRKSEY,3,,8,11
KIRKSVILLE,2,,1,3
KITE,10,,,10
KNIFLEY,6,,1,7
KOSMOSDALE,6,,1,7
KRYPTON,22,,,22
LA CENTER,3,,1,4
LA GRANGE,12,,1,13
LACONIA,3,,1,4
LAMASCO,10,,1,11
LANCASTER,7,2,13,22
LANCER,4,,3,7
LANDSAW,2,,,2
LANESVILLE,3,,,3
LAUREL,7,,1,8
LAWRENCEBURG,10,,7,17
LAWRENCEVILLE,1,,,1
LEATHERWOOD,4,,,4
LEAVENWORTH,4,,,4
LEBANON EAST,3,,1,4
LEBANON JUNCTION,3,2,,5
LEBANON WEST,4,,,4
LEE CITY,8,,,8
LEESBURG,8,,2,10
LEIGHTON,34,3,6,43
LEITCHFIELD,1,,7,8
LENOX,4,,2,6
LEVEE,1,1,5,7
LEWISBURG,8,1,3,12
LEWISPORT,5,,,5
LEXINGTON EAST,4,,4,8
LEXINGTON WEST,13,,3,16
LIBERTY,2,,2,4
LICK CREEK,3,,1,4
LILY,4,1,7,12
LINTON,16,,4,20
LITTLE CYPRESS,55,,5,60
LITTLE HICKMAN,9,2,9,20
LIVERMORE,6,2,1,9
LIVINGSTON,132,4,7,143
LOAD,10,,1,11
LODIBURG,2,,1,3
LOLA,6,,2,8
LONDON SW,26,5,19,50
LORETTO,1,2,15,18
LOUELLEN,43,3,22,68
LOUISA,1,,1,2
LOUISVILLE EAST,30,,4,34
LOUISVILLE WEST,14,,1,15
LOVELACEVILLE,15,,,15
LUCAS,8,,1,9
LYNN GROVE,93,2,4,99
LYNNVILLE,66,,3,69
MACEO,9,,,9
MACKVILLE,2,,,2
MADISON EAST,4,,1,5
MADISON WEST,1,,,1
MADISONVILLE EAST,11,,,11
MADISONVILLE WEST,9,,,9
MADRID,7,,1,8
MAGNOLIA,3,,3,6
MAJESTIC,13,,,13
MAMMOTH CAVE,311,24,42,377
MANCHESTER,1,,1,2
MANCHESTER ISLANDS,15,3,26,44
MANNSVILLE,2,,,2
MARETBURG,4,,,4
MARION,6,1,1,8
MARTIN,15,,1,16
MASON,3,,,3
MATEWAN,2,1,,3
MATTINGLY,1,,1,2
MAUCKPORT,4,,,4
MAUD,3,,,3
MAULDEN,3,,,3
MAYFIELD,2,,2,4
MAYKING,7,,,7
MAYS LICK,2,,,2
